Model,Accuracy,Balanced Accuracy,Precision (Macro),Recall (Macro),F1 (Macro),F1 (Weighted),ROC-AUC (Macro OVR),Log Loss,CV F1 Mean,CV F1 Std,Fit Time (s),Predict Time (s)
Decision Tree,0.9760765550239234,0.9753419944501095,0.9767145473321885,0.9753419944501095,0.9757493277563993,0.9759562212630338,0.9856685249718954,0.8622883585913197,0.9285423899485601,0.01007963139646293,0.01607885900000383,0.0029682240000283855
Soft Voting,0.9712918660287081,0.9704206000550311,0.970050821942847,0.9704206000550311,0.9701946318116923,0.9712724537831294,0.9993461728828515,0.17854714872607308,0.9609045991834229,0.008258359100939616,1.4343879040000047,0.19157960500001536
Random Forest,0.9617224880382775,0.9610461470148098,0.9610095952662375,0.9610461470148098,0.9607821735255403,0.9621197068728009,0.9986001165854193,0.19416791232844932,0.9438613771418835,0.013746737986658078,1.2066897820000122,0.15131205000000136
Logistic Regression,0.9497607655502392,0.9493854775420759,0.9487749052190048,0.9493854775420759,0.9487280151909642,0.9495309551299198,0.996433295132336,0.19219408023680118,0.9395805033862068,0.016306521670039868,0.11991070800002035,0.005282379999925979
KNN,0.8636363636363636,0.8569628132045887,0.8529046189260358,0.8569628132045887,0.8528317249170527,0.8585012529326674,0.9743453724851889,1.2679251758557866,0.866168776773474,0.022099397866310263,0.008714471999951456,0.009938378000015291
